Employee #,Date,Time In,Time Out
10001,06/03/24,8:05,17:00
10001,06/04/24,8:00,17:00
10001,06/05/24,8:00,17:00
10001,06/06/24,8:05,17:00
10001,06/07/24,8:00,17:00
10001,06/10/24,8:10,17:00
10001,06/11/24,8:05,17:00
10001,06/12/24,8:00,17:00
10001,06/13/24,8:00,17:00
10001,06/14/24,8:05,17:00
10001,06/17/24,8:10,17:00
10001,06/18/24,8:00,17:00
10001,06/19/24,8:05,17:00
10001,06/20/24,8:00,17:00
10001,06/21/24,8:00,17:00
10001,07/01/24,8:05,17:00
10001,07/02/24,8:00,17:00
10001,07/03/24,8:00,17:00
10001,07/04/24,8:05,17:00
10001,07/05/24,8:00,17:00
10001,07/08/24,8:10,17:00
10001,07/09/24,8:05,17:00
10001,07/10/24,8:00,17:00
10001,07/11/24,8:00,17:00
10001,07/12/24,8:05,17:00
10001,07/15/24,8:10,17:00
10001,07/16/24,8:00,17:00
10001,07/17/24,8:05,17:00
10001,07/18/24,8:00,17:00
10001,07/19/24,8:00,17:00
10001,08/01/24,8:05,17:00
10001,08/02/24,8:00,17:00
10001,08/05/24,8:00,17:00
10001,08/06/24,8:05,17:00
10001,08/07/24,8:00,17:00
10001,08/08/24,8:10,17:00
10001,08/09/24,8:05,17:00
10001,08/12/24,8:00,17:00
10001,08/13/24,8:00,17:00
10001,08/14/24,8:05,17:00
10001,08/15/24,8:10,17:00
10001,08/16/24,8:00,17:00
10001,08/19/24,8:05,17:00
10001,08/20/24,8:00,17:00
10001,08/21/24,8:00,17:00
10001,09/02/24,8:05,17:00
10001,09/03/24,8:00,17:00
10001,09/04/24,8:00,17:00
10001,09/05/24,8:05,17:00
10001,09/06/24,8:00,17:00
10001,09/09/24,8:10,17:00
10001,09/10/24,8:05,17:00
10001,09/11/24,8:00,17:00
10001,09/12/24,8:00,17:00
10001,09/13/24,8:05,17:00
10001,09/16/24,8:10,17:00
10001,09/17/24,8:00,17:00
10001,09/18/24,8:05,17:00
10001,09/19/24,8:00,17:00
10001,09/20/24,8:00,17:00
10001,10/01/24,8:05,17:00
10001,10/02/24,8:00,17:00
10001,10/03/24,8:00,17:00
10001,10/04/24,8:05,17:00
10001,10/07/24,8:00,17:00
10001,10/08/24,8:10,17:00
10001,10/09/24,8:05,17:00
10001,10/10/24,8:00,17:00
10001,10/11/24,8:00,17:00
10001,10/14/24,8:05,17:00
10001,10/15/24,8:10,17:00
10001,10/16/24,8:00,17:00
10001,10/17/24,8:05,17:00
10001,10/18/24,8:00,17:00
10001,10/21/24,8:00,17:00
10001,11/01/24,8:05,17:00
10001,11/04/24,8:00,17:00
10001,11/05/24,8:00,17:00
10001,11/06/24,8:05,17:00
10001,11/07/24,8:00,17:00
10001,11/08/24,8:10,17:00
10001,11/11/24,8:05,17:00
10001,11/12/24,8:00,17:00
10001,11/13/24,8:00,17:00
10001,11/14/24,8:05,17:00
10001,11/15/24,8:10,17:00
10001,11/18/24,8:00,17:00
10001,11/19/24,8:05,17:00
10001,11/20/24,8:00,17:00
10001,11/21/24,8:00,17:00
10001,12/02/24,8:05,17:00
10001,12/03/24,8:00,17:00
10001,12/04/24,8:00,17:00
10001,12/05/24,8:05,17:00
10001,12/06/24,8:00,17:00
10001,12/09/24,8:10,17:00
10001,12/10/24,8:05,17:00
10001,12/11/24,8:00,17:00
10001,12/12/24,8:00,17:00
10001,12/13/24,8:05,17:00
10001,12/16/24,8:10,17:00
10001,12/17/24,8:00,17:00
10001,12/18/24,8:05,17:00
10001,12/19/24,8:00,17:00
10001,12/20/24,8:00,17:00
10002,06/03/24,8:05,17:00
10002,06/04/24,8:00,17:00
10002,06/05/24,8:00,17:00
10002,06/06/24,8:05,17:00
10002,06/07/24,8:00,17:00
10002,06/10/24,8:10,17:00
10002,06/11/24,8:05,17:00
10002,06/12/24,8:00,17:00
10002,06/13/24,8:00,17:00
10002,06/14/24,8:05,17:00
10002,06/17/24,8:10,17:00
10002,06/18/24,8:00,17:00
10002,06/19/24,8:05,17:00
10002,06/20/24,8:00,17:00
10002,06/21/24,8:00,17:00
10002,07/01/24,8:05,17:00
10002,07/02/24,8:00,17:00
10002,07/03/24,8:00,17:00
10002,07/04/24,8:05,17:00
10002,07/05/24,8:00,17:00
10002,07/08/24,8:10,17:00
10002,07/09/24,8:05,17:00
10002,07/10/24,8:00,17:00
10002,07/11/24,8:00,17:00
10002,07/12/24,8:05,17:00
10002,07/15/24,8:10,17:00
10002,07/16/24,8:00,17:00
10002,07/17/24,8:05,17:00
